t,p1_x1,p1_x2,p1_v1,p1_v2,p2_x1,p2_x2,p2_v1,p2_v2,p3_x1,p3_x2,p3_v1,p3_v2
1.728,0.718361325,-0.189001307,1.001571945,0.234730108,0.338258702,0.404043068,-0.959975387,-0.706058781,-1.056620026,-0.215041761,-0.041596558,0.471328673
1.744,0.733812491,-0.18513654,0.979186135,0.260560068,0.323369825,0.392803743,-0.948711455,-0.734686979,-1.057182316,-0.207667203,-0.03047468,0.474126911
1.76,0.748906782,-0.180878149,0.955931527,0.285211192,0.308663475,0.38112738,-0.936687353,-0.762152285,-1.057570257,-0.200249231,-0.019244175,0.476941093
1.776,0.763632948,-0.176244524,0.931914227,0.308632201,0.294149118,0.3690314,-0.924025505,-0.788402325,-1.057782066,-0.192786876,-0.007888721,0.479770124
1.792,0.777979219,-0.171255405,0.907245415,0.330781819,0.279836441,0.35653569,-0.910851942,-0.813393627,-1.057815659,-0.185280286,0.003606526,0.482611808
1.808,0.791936288,-0.165930849,0.88203505,0.351633272,0.265732447,0.343660133,-0.897292185,-0.837096639,-1.057668734,-0.177729284,0.015257136,0.485463368
1.824,0.805496555,-0.160291235,0.856391367,0.371172393,0.251842191,0.330424978,-0.883470217,-0.859493663,-1.057338745,-0.170133743,0.02707885,0.48832127
1.84,0.818654085,-0.154357068,0.830419465,0.389396769,0.238168814,0.316850665,-0.869507049,-0.880577961,-1.056822899,-0.162493597,0.039087585,0.491181192
1.856,0.83140455,-0.148148808,0.804220092,0.406314736,0.224713603,0.302957661,-0.855519519,-0.900352705,-1.056118152,-0.154808853,0.051299428,0.494037969
1.872,0.843745153,-0.141686706,0.777888665,0.421944263,0.211476058,0.288766313,-0.841619294,-0.918829818,-1.055221211,-0.147079607,0.063730629,0.496885556
1.888,0.855674539,-0.134990666,0.751514503,0.436311782,0.198453985,0.27429672,-0.827912096,-0.93602875,-1.054128524,-0.139306054,0.076397592,0.499716968
1.904,0.867192695,-0.12808012,0.72518027,0.449450996,0.18564359,0.259568628,-0.814497134,-0.951975226,-1.052836285,-0.131488509,0.089316864,0.50252423
1.92,0.878300844,-0.120973927,0.698961613,0.461401699,0.173039585,0.244601343,-0.801466726,-0.966700011,-1.051340429,-0.123627416,0.102505113,0.505298312
1.936,0.889001331,-0.113690285,0.672926981,0.472208642,0.160635298,0.229413657,-0.788906085,-0.980237711,-1.049636629,-0.115723372,0.115979105,0.508029069
1.952,0.899297515,-0.106246662,0.647137587,0.48192046,0.14842278,0.2140238,-0.776893265,-0.992625628,-1.047720295,-0.107777138,0.129755678,0.510705168
1.968,0.909193652,-0.098659742,0.621647508,0.490588681,0.136392925,0.198449407,-0.76549921,-1.0039027,-1.045586577,-0.099789665,0.143851702,0.513314019
1.984,0.918694787,-0.09094539,0.596503885,0.498266826,0.124535571,0.182707498,-0.754787921,-1.014108524,-1.043230358,-0.091762107,0.158284036,0.515841698
2,0.927806213,-0.083119014,0.571748412,0.505009298,0.112840181,0.16681526,-0.744817151,-1.023282047,-1.040646394,-0.083696246,0.173068739,0.518272749
2.016,0.936535134,-0.075194004,0.547412846,0.510871949,0.101293659,0.150786929,-0.735636774,-1.031462524,-1.037828793,-0.075592925,0.188223928,0.520590575
2.032,0.944887891,-0.067184044,0.52352669,0.515909493,0.089883888,0.134638493,-0.727292036,-1.038686127,-1.034771779,-0.067454449,0.203765346,0.522776635
2.048,0.952871679,-0.05910158,0.500112731,0.520176349,0.07859752,0.118384607,-0.719821896,-1.04498719,-1.031469199,-0.059283027,0.219709165,0.524810841
2.064,0.96049401,-0.050958216,0.477188706,0.523725861,0.067420644,0.102039413,-0.713259866,-1.05039721,-1.027914654,-0.051081197,0.236071159,0.526671349
2.08,0.967762635,-0.042764736,0.454767735,0.526609946,0.056338865,0.085616586,-0.707634331,-1.054944412,-1.0241015,-0.04285185,0.252866596,0.528334466
2.096,0.974685476,-0.034531127,0.432858755,0.528878811,0.045337383,0.069129391,-0.70296885,-1.05865338,-1.020022859,-0.034598264,0.270110095,0.52977457
2.112,0.981270565,-0.026266608,0.411466944,0.530580738,0.034401069,0.052590737,-0.699282424,-1.061544762,-1.015671634,-0.02632413,0.28781548,0.530964024
